County_Code,Age_Group,Facility,COMMUNITY,UNC,LARGE,SMALL,LT,NH
1,0,Caldwell Memorial Hospital,0.9635240436870525,0.03282836068165282,0.003043098347313455,0.000604497283981301,0.0,0.0
1,1,Caldwell Memorial Hospital,0.9602222710555325,0.03282836068165282,0.003043098347313455,0.000604497283981301,0.003301772631519918,0.0
1,2,Caldwell Memorial Hospital,0.8274905011937068,0.03282836068165282,0.003043098347313455,0.000604497283981301,0.0044573930525518895,0.13157614944079377
3,0,Caldwell Memorial Hospital,0.9635240436870525,0.0,0.003043098347313455,0.03343285796563412,0.0,0.0
3,1,Caldwell Memorial Hospital,0.9602222710555325,0.0,0.003043098347313455,0.03343285796563412,0.003301772631519918,0.0
3,2,Caldwell Memorial Hospital,0.8274905011937068,0.0,0.003043098347313455,0.03343285796563412,0.0044573930525518895,0.13157614944079377
5,0,Caldwell Memorial Hospital,0.9635240436870525,0.0,0.0,0.036475956312947574,0.0,0.0
5,1,Caldwell Memorial Hospital,0.9602222710555325,0.0,0.0,0.036475956312947574,0.003301772631519918,0.0
5,2,Caldwell Memorial Hospital,0.8274905011937068,0.0,0.0,0.036475956312947574,0.0044573930525518895,0.13157614944079377
7,0,Caldwell Memorial Hospital,0.9635240436870525,0.0,0.0,0.036475956312947574,0.0,0.0
7,1,Caldwell Memorial Hospital,0.9602222710555325,0.0,0.0,0.036475956312947574,0.003301772631519918,0.0
7,2,Caldwell Memorial Hospital,0.8274905011937068,0.0,0.0,0.036475956312947574,0.0044573930525518895,0.13157614944079377
9,0,Caldwell Memorial Hospital,0.9635240436870525,0.0,0.003043098347313455,0.03343285796563412,0.0,0.0
9,1,Caldwell Memorial Hospital,0.9602222710555325,0.0,0.003043098347313455,0.03343285796563412,0.003301772631519918,0.0
9,2,Caldwell Memorial Hospital,0.8274905011937068,0.0,0.003043098347313455,0.03343285796563412,0.0044573930525518895,0.13157614944079377
11,0,Caldwell Memorial Hospital,0.9635240436870525,0.0,0.0,0.036475956312947574,0.0,0.0
11,1,Caldwell Memorial Hospital,0.9602222710555325,0.0,0.0,0.036475956312947574,0.003301772631519918,0.0
11,2,Caldwell Memorial Hospital,0.8274905011937068,0.0,0.0,0.036475956312947574,0.0044573930525518895,0.13157614944079377
13,0,Caldwell Memorial Hospital,0.9635240436870525,0.0,0.003043098347313455,0.03343285796563412,0.0,0.0
13,1,Caldwell Memorial Hospital,0.9602222710555325,0.0,0.003043098347313455,0.03343285796563412,0.003301772631519918,0.0
13,2,Caldwell Memorial Hospital,0.8274905011937068,0.0,0.003043098347313455,0.03343285796563412,0.0044573930525518895,0.13157614944079377
15,0,Caldwell Memorial Hospital,0.9635240436870525,0.0,0.003043098347313455,0.03343285796563412,0.0,0.0
15,1,Caldwell Memorial Hospital,0.9602222710555325,0.0,0.003043098347313455,0.03343285796563412,0.003301772631519918,0.0
15,2,Caldwell Memorial Hospital,0.8274905011937068,0.0,0.003043098347313455,0.03343285796563412,0.0044573930525518895,0.13157614944079377
17,0,Caldwell Memorial Hospital,0.9635240436870525,0.0,0.003043098347313455,0.03343285796563412,0.0,0.0
17,1,Caldwell Memorial Hospital,0.9602222710555325,0.0,0.003043098347313455,0.03343285796563412,0.003301772631519918,0.0
17,2,Caldwell Memorial Hospital,0.8274905011937068,0.0,0.003043098347313455,0.03343285796563412,0.0044573930525518895,0.13157614944079377
19,0,Caldwell Memorial Hospital,0.9635240436870525,0.0,0.003043098347313455,0.03343285796563412,0.0,0.0
19,1,Caldwell Memorial Hospital,0.9602222710555325,0.0,0.003043098347313455,0.03343285796563412,0.003301772631519918,0.0
19,2,Caldwell Memorial Hospital,0.8274905011937068,0.0,0.003043098347313455,0.03343285796563412,0.0044573930525518895,0.13157614944079377
21,0,Caldwell Memorial Hospital,0.9635240436870525,0.03282836068165282,0.003043098347313455,0.000604497283981301,0.0,0.0
21,1,Caldwell Memorial Hospital,0.9602222710555325,0.03282836068165282,0.003043098347313455,0.000604497283981301,0.003301772631519918,0.0
21,2,Caldwell Memorial Hospital,0.8274905011937068,0.03282836068165282,0.003043098347313455,0.000604497283981301,0.0044573930525518895,0.13157614944079377
23,0,Caldwell Memorial Hospital,0.9635240436870525,0.03282836068165282,0.003043098347313455,0.000604497283981301,0.0,0.0
23,1,Caldwell Memorial Hospital,0.9602222710555325,0.03282836068165282,0.003043098347313455,0.000604497283981301,0.003301772631519918,0.0
23,2,Caldwell Memorial Hospital,0.8274905011937068,0.03282836068165282,0.003043098347313455,0.000604497283981301,0.0044573930525518895,0.13157614944079377
25,0,Caldwell Memorial Hospital,0.9635240436870525,0.0,0.003043098347313455,0.03343285796563412,0.0,0.0
25,1,Caldwell Memorial Hospital,0.9602222710555325,0.0,0.003043098347313455,0.03343285796563412,0.003301772631519918,0.0
25,2,Caldwell Memorial Hospital,0.8274905011937068,0.0,0.003043098347313455,0.03343285796563412,0.0044573930525518895,0.13157614944079377
27,0,Caldwell Memorial Hospital,0.9635240436870525,0.03282836068165282,0.003043098347313455,0.000604497283981301,0.0,0.0
27,1,Caldwell Memorial Hospital,0.9602222710555325,0.03282836068165282,0.003043098347313455,0.000604497283981301,0.003301772631519918,0.0
27,2,Caldwell Memorial Hospital,0.8274905011937068,0.03282836068165282,0.003043098347313455,0.000604497283981301,0.0044573930525518895,0.13157614944079377
29,0,Caldwell Memorial Hospital,0.9635240436870525,0.0,0.0,0.036475956312947574,0.0,0.0
29,1,Caldwell Memorial Hospital,0.9602222710555325,0.0,0.0,0.036475956312947574,0.003301772631519918,0.0
29,2,Caldwell Memorial Hospital,0.8274905011937068,0.0,0.0,0.036475956312947574,0.0044573930525518895,0.13157614944079377
31,0,Caldwell Memorial Hospital,0.9635240436870525,0.0,0.003043098347313455,0.03343285796563412,0.0,0.0
31,1,Caldwell Memorial Hospital,0.9602222710555325,0.0,0.003043098347313455,0.03343285796563412,0.003301772631519918,0.0
31,2,Caldwell Memorial Hospital,0.8274905011937068,0.0,0.003043098347313455,0.03343285796563412,0.0044573930525518895,0.13157614944079377
33,0,Caldwell Memorial Hospital,0.9635240436870525,0.0,0.003043098347313455,0.03343285796563412,0.0,0.0
33,1,Caldwell Memorial Hospital,0.9602222710555325,0.0,0.003043098347313455,0.03343285796563412,0.003301772631519918,0.0
33,2,Caldwell Memorial Hospital,0.8274905011937068,0.0,0.003043098347313455,0.03343285796563412,0.0044573930525518895,0.13157614944079377
35,0,Caldwell Memorial Hospital,0.9635240436870525,0.03282836068165282,0.003043098347313455,0.000604497283981301,0.0,0.0
35,1,Caldwell Memorial Hospital,0.9602222710555325,0.03282836068165282,0.003043098347313455,0.000604497283981301,0.003301772631519918,0.0
35,2,Caldwell Memorial Hospital,0.8274905011937068,0.03282836068165282,0.003043098347313455,0.000604497283981301,0.0044573930525518895,0.13157614944079377
37,0,Caldwell Memorial Hospital,0.9635240436870525,0.03282836068165282,0.0,0.003647595631294756,0.0,0.0
37,1,Caldwell Memorial Hospital,0.9602222710555325,0.03282836068165282,0.0,0.003647595631294756,0.003301772631519918,0.0
37,2,Caldwell Memorial Hospital,0.8274905011937068,0.03282836068165282,0.0,0.003647595631294756,0.0044573930525518895,0.13157614944079377
39,0,Caldwell Memorial Hospital,0.9635240436870525,0.0,0.0,0.036475956312947574,0.0,0.0
39,1,Caldwell Memorial Hospital,0.9602222710555325,0.0,0.0,0.036475956312947574,0.003301772631519918,0.0
39,2,Caldwell Memorial Hospital,0.8274905011937068,0.0,0.0,0.036475956312947574,0.0044573930525518895,0.13157614944079377
41,0,Caldwell Memorial Hospital,0.9635240436870525,0.0,0.003043098347313455,0.03343285796563412,0.0,0.0
41,1,Caldwell Memorial Hospital,0.9602222710555325,0.0,0.003043098347313455,0.03343285796563412,0.003301772631519918,0.0
41,2,Caldwell Memorial Hospital,0.8274905011937068,0.0,0.003043098347313455,0.03343285796563412,0.0044573930525518895,0.13157614944079377
43,0,Caldwell Memorial Hospital,0.9635240436870525,0.0,0.0,0.036475956312947574,0.0,0.0
43,1,Caldwell Memorial Hospital,0.9602222710555325,0.0,0.0,0.036475956312947574,0.003301772631519918,0.0
43,2,Caldwell Memorial Hospital,0.8274905011937068,0.0,0.0,0.036475956312947574,0.0044573930525518895,0.13157614944079377
45,0,Caldwell Memorial Hospital,0.9635240436870525,0.0,0.003043098347313455,0.03343285796563412,0.0,0.0
45,1,Caldwell Memorial Hospital,0.9602222710555325,0.0,0.003043098347313455,0.03343285796563412,0.003301772631519918,0.0
45,2,Caldwell Memorial Hospital,0.8274905011937068,0.0,0.003043098347313455,0.03343285796563412,0.0044573930525518895,0.13157614944079377
47,0,Caldwell Memorial Hospital,0.9635240436870525,0.0,0.003043098347313455,0.03343285796563412,0.0,0.0
47,1,Caldwell Memorial Hospital,0.9602222710555325,0.0,0.003043098347313455,0.03343285796563412,0.003301772631519918,0.0
47,2,Caldwell Memorial Hospital,0.8274905011937068,0.0,0.003043098347313455,0.03343285796563412,0.0044573930525518895,0.13157614944079377
49,0,Caldwell Memorial Hospital,0.9635240436870525,0.03282836068165282,0.003043098347313455,0.000604497283981301,0.0,0.0
49,1,Caldwell Memorial Hospital,0.9602222710555325,0.03282836068165282,0.003043098347313455,0.000604497283981301,0.003301772631519918,0.0
49,2,Caldwell Memorial Hospital,0.8274905011937068,0.03282836068165282,0.003043098347313455,0.000604497283981301,0.0044573930525518895,0.13157614944079377
51,0,Caldwell Memorial Hospital,0.9635240436870525,0.03282836068165282,0.003043098347313455,0.000604497283981301,0.0,0.0
51,1,Caldwell Memorial Hospital,0.9602222710555325,0.03282836068165282,0.003043098347313455,0.000604497283981301,0.003301772631519918,0.0
51,2,Caldwell Memorial Hospital,0.8274905011937068,0.03282836068165282,0.003043098347313455,0.000604497283981301,0.0044573930525518895,0.13157614944079377
53,0,Caldwell Memorial Hospital,0.9635240436870525,0.0,0.0,0.036475956312947574,0.0,0.0
53,1,Caldwell Memorial Hospital,0.9602222710555325,0.0,0.0,0.036475956312947574,0.003301772631519918,0.0
